Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
Denmark,2018,7.648785591125488,10.755594253540039,0.9582188725471497,72.4000015258789,0.935437798500061,0.015592852607369423,0.15060743689537048,0.8214226365089417,0.20605280995368958,0.6324784755706787,1.2423914411499157,2.039313032819115,1.6510601043701172,0.21585911512374878,0.3900265614938817,0.267,0.4790506660938263,0.46178871393204346,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
Dominican Republic,2018,5.433215618133545,9.626997947692871,0.8619863390922546,65.80000305175781,0.8666415810585022,-0.1509512960910797,0.7622735500335693,0.7448718547821045,0.29140302538871765,0.42177101969718933,-0.06527392871311277,-0.7972682565946823,3.395453929901123,0.624943733215332,0.14728497790868889,0.4847058823529412,0.5200950503349304,0.2825051844120021,0.3904802825450897,0.28392481539737097,0.2517985701560974,0.26807041443474666,0.2643360556709388,0.23749304511730077
Ecuador,2018,6.128010272979736,9.274455070495605,0.8513450026512146,68.5,0.8693637251853943,-0.1040210872888565,0.8307431936264038,0.876474916934967,0.328171044588089,0.40208518505096436,-0.24780694784123136,-0.7885492383544344,2.4857876300811768,0.4056435227394104,0.03758873343151753,0.4960000000000001,0.4385119080543518,-0.49652061611413484,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.07160699367523193
Egypt,2018,4.00545072555542,9.293959617614746,0.7588240504264832,61.70000076293945,0.6816544532775879,-0.22292953729629517,1.694463759202224,0.49226075410842896,0.28518378734588623,1.9654148499170927,-1.331023314858174,-0.5700656119836952,2.02060604095459,0.5044640898704529,0.5090000000000013,0.312,0.323928564786911,1.475735306739811,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.37466666102409363,0.1850128024816513,0.2150088995695114
El Salvador,2018,6.276246070861816,8.911958694458008,0.8239991664886475,66.0999984741211,0.8632072806358337,-0.09678690880537033,0.8266000151634216,0.8715364933013916,0.26537060737609863,0.3239920437335968,-0.31369600801224834,-0.7426013862212735,2.516374111175537,0.40093618631362915,0.30102430044182654,0.45782352941176474,0.4442465305328369,0.368194237351412,0.3904802825450897,0.28392481539737097,0.14114832878112793,0.26807041443474666,0.2643360556709388,0.23749304511730077
Estonia,2018,6.091302394866943,10.32410717010498,0.9326937794685364,68.5999984741211,0.8856183886528015,-0.1446649134159088,0.6206779479980469,0.7947302460670471,0.1631821095943451,0.4202025830745697,0.6197187391995693,1.3043048150231158,1.7629237174987793,0.2894165515899658,0.523071346375145,0.3324615384615385,0.36719486117362976,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.2105778604745865,0.26807041443474666,0.2643360556709388,0.38986992835998535
Ethiopia,2018,4.379262447357178,7.524516582489014,0.740154504776001,58.5,0.7403430938720703,0.043273504823446274,0.7994662523269653,0.6595208644866943,0.2717539668083191,0.8752709627151489,-1.4891387224197388,-0.8906806031862895,1.945811152458191,0.44432392716407776,0.3737979789250913,0.3403333333333333,0.44055259227752686,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.22526316344738007,0.23749304511730077
Finland,2018,7.858107089996338,10.636059761047363,0.9621550440788269,71.9000015258789,0.9378073811531067,-0.131735160946846,0.19860483705997467,0.781546413898468,0.1817806512117386,0.5551022291183472,1.3505002692011854,2.081746913927616,1.4256123304367065,0.18141929805278778,0.5212990654205606,0.27561538461538465,0.36229419708251953,0.1911082978153389,0.571719229221344,0.28392481539737097,0.47922998666763306,0.26807041443474666,0.5803785920143127,0.23749304511730077
France,2018,6.665903568267822,10.573351860046387,0.9214630722999573,73.80000305175781,0.8163772225379944,-0.14156712591648102,0.5817753076553345,0.7673134207725525,0.2824513614177704,0.380547434091568,1.552769526552229,1.2566831073630862,1.5990493297576904,0.2398848533630371,0.3615087761481149,0.320923076923077,0.36096563935279846,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.18764232099056244,0.23749304511730077
Gabon,2018,4.783009052276611,9.718316078186035,0.7848275899887085,59.70000076293945,0.7191354036331177,-0.21748751401901245,0.8228634595870972,0.6406916379928589,0.41766098141670227,0.3113737106323242,-0.40131244223032675,-0.9580642123307501,2.62363862991333,0.5485330820083618,0.3737979789250913,0.42200000000000004,0.48509424924850464,0.1911082978153389,0.3904802825450897,0.28392481539737097,0.24957434069304985,0.26807041443474666,0.2643360556709388,0.23749304511730077
